text,stress_level,study_hour,screen_time,sleep_hour,social_hours,physical_activity,stress_score
My mind is full of worry and fear.,High,2.4,9.8,5.1,5.0,2.4,95.0
I cry almost every night due to stress.,High,1.5,7.7,5.2,2.9,3.4,96.0
I'm constantly anxious and scared of failing.,High,0.1,4.4,4.1,3.4,0.7,90.0
I'm constantly anxious and scared of failing.,High,2.9,8.5,4.9,2.3,2.2,72.0
Life feels like a constant struggle.,High,1.4,9.9,5.3,3.2,0.9,80.0
I can't take this pressure anymore.,High,4.6,9.8,5.1,5.8,0.9,90.0
My heart is racing and I feel overwhelmed.,High,0.6,8.1,5.9,3.7,3.3,100.0
I cry almost every night due to stress.,High,4.6,3.4,3.4,3.1,2.2,84.0
I'm constantly anxious and scared of failing.,High,5.5,5.4,5.4,6.0,2.9,79.0
"Too many expectations, I can't breathe.",High,4.0,4.7,5.4,5.5,2.1,72.0
Everything feels like too much to handle.,High,3.8,4.5,4.6,3.7,2.1,95.0
I cry almost every night due to stress.,High,5.6,3.6,4.4,4.6,2.6,76.0
"Too many expectations, I can't breathe.",High,5.8,4.6,4.2,3.7,1.7,71.0
I’m stressed and frustrated with everything.,High,4.3,5.2,5.8,3.6,2.0,92.0
"Too many expectations, I can't breathe.",High,5.1,5.7,5.4,6.0,3.4,87.0
Work is draining all my energy and hope.,High,3.4,5.0,3.1,2.5,0.6,85.0
I feel mentally exhausted and helpless.,High,3.4,3.1,4.0,4.9,1.4,87.0
Nothing is going right in my life.,High,0.2,9.6,3.8,4.7,1.5,85.0
I can't take this pressure anymore.,High,2.5,8.6,3.1,4.6,3.3,75.0
I can’t find peace even for a moment.,High,5.6,5.4,4.9,5.0,2.2,75.0
I’m stressed and frustrated with everything.,High,2.1,9.0,4.5,4.4,1.5,78.0
I cry almost every night due to stress.,High,4.9,7.8,3.9,1.3,2.3,90.0
My heart is racing and I feel overwhelmed.,High,3.6,7.2,5.4,3.7,0.8,84.0
Work is draining all my energy and hope.,High,0.5,8.2,5.7,1.8,1.5,82.0
Nothing is going right in my life.,High,2.9,8.5,3.3,2.4,1.9,81.0
Nothing is going right in my life.,High,5.6,9.5,3.9,4.9,0.7,93.0
I feel mentally exhausted and helpless.,High,3.5,4.6,4.9,5.6,2.2,96.0
I'm constantly anxious and scared of failing.,High,4.1,6.4,4.5,4.3,2.4,77.0
My heart is racing and I feel overwhelmed.,High,2.7,3.4,4.1,4.6,0.6,91.0
"Too many expectations, I can't breathe.",High,3.6,9.5,3.6,3.7,3.2,84.0
I’m stressed and frustrated with everything.,High,4.4,4.3,3.1,4.7,1.3,76.0
Life feels like a constant struggle.,High,0.8,5.2,5.5,5.3,1.7,97.0
"Too many expectations, I can't breathe.",High,5.0,3.2,4.5,1.1,1.8,79.0
I feel mentally exhausted and helpless.,High,4.7,3.8,3.3,5.6,1.3,95.0
I feel mentally exhausted and helpless.,High,4.3,7.8,4.7,2.6,1.9,98.0
I feel mentally exhausted and helpless.,High,4.0,6.3,3.9,4.5,2.3,83.0
My heart is racing and I feel overwhelmed.,High,2.6,7.8,5.9,5.9,1.4,74.0
Everything feels like too much to handle.,High,0.0,9.6,4.3,1.9,1.2,94.0
I cry almost every night due to stress.,High,4.3,3.9,3.8,2.1,3.0,77.0
I’m stressed and frustrated with everything.,High,2.5,7.6,5.1,1.6,0.7,81.0
I'm constantly anxious and scared of failing.,High,5.9,4.3,3.3,3.8,1.3,81.0
